contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,msg,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,1.060016761,0.391122529,Inf,1,0.157962724,0.874486172,1.060016761,0.02666052,0.025151036,tumor16SProximity_v3,ACOT8,NA,32,0.017663818,1755,10,0.03180212,283,0.965246527,0.084087076,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.899874848,0.585760202,Inf,1,-0.162073867,0.871247685,0.899874848,0.008950608,0.009946503,tumor16SProximity_v3,ACOT9,NA,11,0.006267806,1755,4,0.010600707,283,0.964082995,-0.152203725,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.296156655,0.420150497,Inf,1,0.800254985,0.423563078,1.296156655,0.039126449,0.030186512,tumor16SProximity_v3,ACOX1,NA,47,0.025641026,1755,12,0.042402827,283,0.73445461,0.374240095,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.560138252,0.226715709,Inf,1,-1.431926576,0.152164836,0.560138252,0.015108506,0.026972816,tumor16SProximity_v3,ACOX2,NA,18,0.01025641,1755,10,0.03180212,283,0.519175328,-0.836145141,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.796724444,0.754221625,Inf,1,1.39590017,0.162744559,1.796724444,0.032221905,0.017933693,tumor16SProximity_v3,ACOX3,NA,39,0.021652422,1755,7,0.024734982,283,0.528530093,0.845369165,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.232979014,0.402772922,Inf,1,0.641122407,0.521443157,1.232979014,0.041477909,0.033640401,tumor16SProximity_v3,ACP3,NA,50,0.026210826,1755,13,0.045936396,283,0.794783726,0.302148244,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.793955276,0.921472457,Inf,1,1.137775109,0.255214401,1.793955276,0.02309216,0.012872205,tumor16SProximity_v3,ACP5,NA,26,0.014814815,1755,5,0.017667845,283,0.609600337,0.843143924,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.473603914,1.367567769,Inf,1,1.638152162,0.101389956,2.473603914,0.025173669,0.01017692,tumor16SProximity_v3,ACSBG1,NA,29,0.015954416,1755,4,0.014134276,283,0.466831996,1.306614507,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,7.679826537,5.671258039,Inf,1,2.760599311,0.005769541,7.679826537,0.040142139,0.005226959,tumor16SProximity_v3,ACSF3,NA,44,0.023931624,1755,2,0.007067138,283,0.245862042,2.941073725,P < 0.05
Within30micronTumor / Within30um16StumorHigh,0.915337699,0.198126906,Inf,1,-0.408691576,0.682766016,0.915337699,0.074528978,0.081422384,tumor16SProximity_v3,ACSL1,NA,89,0.044444444,1755,31,0.091872792,283,0.885891111,-0.127623995,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.788894805,0.24664046,Inf,1,-0.75845036,0.44818142,0.788894805,0.033849467,0.042907453,tumor16SProximity_v3,ACSL3,NA,41,0.021082621,1755,16,0.053003534,283,0.750898317,-0.342095157,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.776541816,0.734424192,Inf,1,1.390099811,0.164498571,1.776541816,0.03268643,0.018398908,tumor16SProximity_v3,ACSL4,NA,39,0.021082621,1755,7,0.024734982,283,0.530512465,0.829071647,NS or |log2FC| < 1
