Gene,Astroglial,B cell,Dendritic,Endothelial,Macrophage/Microglia,Mast cell,MSC-like,Neutrophil,NK cell,Pericyte/vSMC,T cell CD4,T cell CD8,T cell regulatory,T9,T4,T8,T2,T6,T5,T3,T1,T7
TFPI,0.091959128,0.039038336,0.050919699,0.147189981,0.090738138,0.034638342,0.150512303,0.166741426,0.077514299,0.251681983,0.101718623,0.10454414,0.035510656,0.276205246,0.092863213,0.040190963,0.089287708,0.944601424,1,0.034268648,0.058144468,0.033966408
CLDN1,0.161906645,0.135578734,0.229915135,0.186774999,0.186570208,0.517104685,0.154985611,0.178573644,0.277854658,0.14146351,0.104515725,0,0.068277962,0.439817359,0.334440794,0.176192539,0.330218205,0.069143862,1,0.101864152,0.114173769,0.072630023
SPINK1,0.014287948,0.052198516,0.019977901,0.025095188,0.030884211,0.038868376,0.02483746,0.01829548,0.011776502,0.022265847,0.003984901,0,0.009918617,1,0.032309056,0.006767801,0.015461991,0.042304744,0.160816027,0.00664863,0.01237771,0.006342637
SERPINA3,0.334239983,0.121679426,0.095525979,0.222014482,0.097726892,0.043318745,0.280138203,0.061207266,0.073094109,0.049300027,0.021521514,0,0,1,0.106758273,0.026465111,0.075260253,0.037117147,0.106828148,0.030564501,0.043649506,0.047569502
MIA,0.118675055,0.216608752,0.261723363,0.171030727,0.124761002,0.546411782,0.110079195,0.288339462,0.271499611,0.101354487,0.543842213,0.416226826,0,1,0.22429128,0.039457415,0.134134955,0.156846475,0.059360719,0.057447218,0.070458296,0.037319033
MSMB,0.15520347,0.124449992,0.098002545,0.24976889,0.101829092,0.211988812,0.108100742,0.176557578,0.197885122,0.079914129,0.173692959,0,0.188762059,1,0.326352929,0.065879127,0.1608314,0.092083225,0.084314624,0.08095353,0.086047282,0.050493112
GDF15,0.102677475,0.06394137,0.071661041,0.03546743,0.065857651,0.13346811,0.086043962,0.079812118,0.060495677,0.04284096,0.150979081,0,0.100350931,1,0.074567641,0.080978134,0.301005145,0.073108888,0.152300318,0.037341436,0.330476671,0.029621993
COL4A1,0.047729069,0.057883197,0.030154203,0.232018625,0.0463836,0.03485012,0.405007355,0.028966302,0.030860633,1,0.0112108,0,0.049470593,0.014471217,0.01827103,0.020236411,0.019108537,0.009957988,0.040303529,0.010211744,0.010877734,0.021542395
SPARCL1,0.102267314,0.064172027,0.07748528,0.455553905,0.075538762,0.049081093,0.18463169,0.078074876,0.071569736,1,0.100745874,0,0.05355022,0.025106551,0.074161372,0.019348429,0.029447286,0.022413691,0.036942697,0.021819864,0.015889668,0.013369991
COL4A2,0.055680871,0.083710924,0.085127645,0.259435859,0.04605647,0.129157179,0.406192566,0.043601962,0.027711708,1,0.017408754,0,0.030929804,0.01953054,0.030132922,0.017972615,0.034982652,0.011060071,0.034645727,0.013286037,0.014056215,0.052834145
