"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.9190","DCAF10","BrM","High - Low",-0.234998893961741,0.250336452198278,0.484332314514438
"High...Low.9191","NDUFS7","BrM","High - Low",-0.309790139159368,0.576305023804405,0.75969425487366
"High...Low.9192","NOTCH2","BrM","High - Low",1.21861907825441,0.000143028656731914,0.0042971595762398
"High...Low.9193","DDX4","BrM","High - Low",-2.54571828958743,0.0019090601400296,0.0262097658086498
"High...Low.9194","PGS1","BrM","High - Low",1.05344712393228,0.00285599045188399,0.034296400362109
"High...Low.9195","PLA2G4A","BrM","High - Low",-0.683024857735905,0.301948506397385,0.538053700738685
"High...Low.9196","DSC2","BrM","High - Low",-0.186080972617947,0.72139099389041,0.852602855835671
"High...Low.9197","PSTPIP2","BrM","High - Low",0.660472608809233,0.343726619893837,0.579086634430971
"High...Low.9198","ATP10A","BrM","High - Low",0.260603608678475,0.703435905543248,0.840183413177669
"High...Low.9199","CEP70","BrM","High - Low",0.527466512797815,0.323006678891236,0.558988549936713
"High...Low.9200","WNT2B","BrM","High - Low",0.331319962550355,0.48327752742732,0.693061318075915
"High...Low.9201","IRF2BPL","BrM","High - Low",0.884146351334978,0.192483464553892,0.416268923961811
"High...Low.9202","HOXD1","BrM","High - Low",-0.481781241472985,0.461037876014714,0.676890280323161
"High...Low.9203","HIVEP3","BrM","High - Low",0.12125952898352,0.854624493473141,0.92247486024915
"High...Low.9204","GLB1L","BrM","High - Low",0.136415971943147,0.798080556464652,0.893283221452955
"High...Low.9205","KREMEN2","BrM","High - Low",0.422122703045424,0.464292887137433,0.679015000110045
"High...Low.9206","LRFN3","BrM","High - Low",0.445030399413242,0.475187994715517,0.686952600145848
"High...Low.9207","HAUS3","BrM","High - Low",0.673252025730197,0.0896461612588922,0.264756131731455
"High...Low.9208","FYCO1","BrM","High - Low",1.13702462165274,0.0364412160680106,0.157301022151024
"High...Low.9209","CYP2R1","BrM","High - Low",0.921773582509991,0.0427960671002128,0.173390379013025
"High...Low.9210","WDR25","BrM","High - Low",0.568862355532866,0.120564995386432,0.316039776176912
"High...Low.9211","RIPOR1","BrM","High - Low",0.358518612318836,0.57255216267252,0.757089296388333
"High...Low.9212","MAIP1","BrM","High - Low",0.382250477945861,0.242330473717303,0.475442407917444
"High...Low.9213","GCC1","BrM","High - Low",0.319391385673503,0.108173168823056,0.294539243253125
"High...Low.9214","ATP13A3","BrM","High - Low",1.58935313698982,2.32218324525973e-08,6.24756607715071e-06
"High...Low.9215","TTC13","BrM","High - Low",0.487833635174722,0.112206858846587,0.301823091438024
"High...Low.9216","EPS8L3","BrM","High - Low",-0.362669441948274,0.661908289597079,0.815723834695484
"High...Low.9217","ABHD8","BrM","High - Low",0.0887790439156814,0.86146299546768,0.926719652364952
"High...Low.9218","NKAP","BrM","High - Low",1.72025913930538,0.00106849017812132,0.0176483796834914
"High...Low.9219","CDC73","BrM","High - Low",0.219066394837989,0.359109473981397,0.592391395558795
"High...Low.9220","CHPF","BrM","High - Low",0.471868470710681,0.156029791987518,0.369287225495749
"High...Low.9221","CARS2","BrM","High - Low",0.944692335625729,0.0393018040531705,0.16461695712758
"High...Low.9222","MRPL24","BrM","High - Low",-0.36989467407972,0.0331778087483649,0.148899210131558
"High...Low.9223","ARMH3","BrM","High - Low",0.396021798565391,0.43106511091682,0.652521196897459
