Species,Abundance,filter_step
Faecalibaculum.rodentium,2,"After control, genome completion, and coverage filter"
Fusobacterium.nucleatum,28,"After control, genome completion, and coverage filter"
Gardnerella.vaginalis,8,"After control, genome completion, and coverage filter"
Granulicatella.adiacens,1,"After control, genome completion, and coverage filter"
Heyndrickxia.coagulans,12,"After control, genome completion, and coverage filter"
Jeotgalibaca.porci,10,"After control, genome completion, and coverage filter"
Jeotgalicoccus.sp..ATCC.8456,6,"After control, genome completion, and coverage filter"
Lachnoanaerobaculum.umeaense,2,"After control, genome completion, and coverage filter"
Lachnospira.eligens,2,"After control, genome completion, and coverage filter"
Lactobacillus.gasseri,2,"After control, genome completion, and coverage filter"
Lactobacillus.johnsonii,13,"After control, genome completion, and coverage filter"
Lactococcus.raffinolactis,3,"After control, genome completion, and coverage filter"
