Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T11,T16,T9,T17,T18,T10,T1,T13,T3,T14,T15,T2,T4,T12,T5,T6,T7,T8
PIP5K1B,0.459728151,0.208827504,1,0.397593349,0.251608838,0.322503018,0.407074467,0.71801795,0.263329439,0.611061909,0.130569253,0.816824945,0.350982063,0.638007042,0.237384732,0.578569921,0.35278478,0.426643253,0.186277301,0.294404106,0.157962502,0.467732615,0.520968852
PIP5K1C,0.605438412,0.86847426,0.555714308,0.385298861,0.873450272,0.456329158,0.587781884,0.735562624,0.347003744,0.220533354,0.549434089,0.519930244,0.772664627,0.666491215,0.423097871,0.89242929,0.620430355,0.364544728,1,0.8523314,0.624865994,0.584887706,0.416229512
PISD,0.913673732,0.480251858,0.699614283,0.819693772,0.337585516,0.856082654,0.835138306,0.804275059,0.476060484,0.632082195,0.473465949,0.655581856,0.64083271,1,0.849547022,0.736639924,0.459368186,0.401423324,0.655885819,0.585712446,0.389986237,0.579130886,0.593805182
PITPNB,0.792079979,0.454267614,0.465743422,0.471838771,0.499997546,0.715698921,0.685493899,0.259067906,0.186239608,1,0.503789664,0.359474137,0.580575525,0.469154294,0.38716348,0.968241802,0.365894032,0.556118027,0.600793577,0.357390259,0.460740444,0.388014006,0.506891745
PITPNM2,0.650152848,0.480231069,0.500140048,0.681165055,0.613096957,0.507277236,0.53110234,0.774134966,0.670460972,0.654117867,0.867273031,0.679201689,0.643405117,0.946635924,0.639337724,0.776183878,0.688225247,0.506724714,0.8672331,0.597535497,1,0.654614534,0.952139902
PITX2,0.620271544,0.098378605,0.367703532,0.514553135,0.252136609,0.846888662,0.573909428,1,0.415272177,0.837776345,0.29764405,0.214145187,0.323599768,0.777384673,0.74087688,0.666876298,0.497461254,0.824745843,0.589861365,0.600313271,0.582429577,0.607479433,0.888434924
PJA1,0.512661656,0.188508324,0.296782021,0.315756034,0.341199264,1,0.44917082,0.395086367,0.361936031,0.49725765,0.427295495,0.973006846,0.33218084,0.510523445,0.483991395,0.476137716,0.394247352,0.631363989,0.831047348,0.658465588,0.403409363,0.515362401,0.438813786
PJA2,0.347184752,1,0.478707217,0.712885128,0.854138421,0.58955948,0.545165586,0.406115023,0.553520509,0.900651423,0.805268188,0.938250783,0.738052018,0.666316285,0.609688777,0.486515272,0.795068246,0.60389889,0.491280681,0.679699188,0.845524088,0.701585223,0.889579492
PKD2,1,0.77087334,0.609346045,0.533417854,0.671601963,0.825231971,0.53167713,0.76126572,0.305292532,0.080528387,0.615791828,0.751625375,0.367683095,0.693694687,0.582473921,0.614416745,0.501087234,0.939334479,0.575586197,0.60046078,0.728858701,0.508126364,0.823097225
PKLR,0.865205222,0.145706806,0.362404084,0.445073018,0.577862887,0.353543786,0.557363548,0.860725503,1,0.505760552,0.288667284,0.532946597,0.744564837,0.685679382,0.523142508,0.43951079,0.526329613,0.487052199,0.553317247,0.628709806,0.53544758,0.675063085,0.9279557
PKM,0.758708848,0.435664987,0.488617958,0.459859517,0.503206313,0.420597927,0.548247319,0.287687439,0.916914716,1,0.374105638,0.374279534,0.535756572,0.294838247,0.537580586,0.31354203,0.446807348,0.447794866,0.708433408,0.532027711,0.386632841,0.612312477,0.513659481
PKMYT1,0.524060255,0.354162911,0.413986167,0.521310126,0.482639896,0.196945207,0.47373713,0.819994974,0.817966876,0.80843881,0.610938634,0.430161149,0.537829459,0.792813725,0.51243041,0.39773032,0.711488193,0.691323369,0.419666049,0.590617435,1,0.676847642,0.854386748
PKN1,0.632661142,1,0.319680425,0.465709216,0.714547665,0.574173825,0.593879257,0.314475905,0.585140675,0.340569303,0.575236869,0.490594811,0.577551212,0.502980655,0.460179506,0.367258882,0.453767706,0.435283366,0.373179637,0.549733156,0.458303367,0.450430425,0.393666377
PKN2,0.343419316,0.42975742,0.342643648,0.616681924,0.402939864,0.452831211,0.367503998,0.531940301,1,0.557619739,0.638437779,0.531404924,0.26794217,0.437758914,0.282926551,0.647736282,0.63285031,0.541890793,0.406273905,0.257057313,0.471511636,0.338698067,0.739219699
PKP3,0.354102523,0.35386542,0.198970111,0.439970055,0.305194167,0.627381636,0.578771891,0.894319927,0.369694264,0.898260938,0.245614687,0.950650929,0.417379965,0.726986907,0.487648198,1,0.382514527,0.637014511,0.401609524,0.382760333,0.511509698,0.491405153,0.419927138
PLA1A,0.585899797,0.682146748,0.210625248,0.50835869,0.615409109,0.623457688,0.371819819,0.367140348,0.458056622,0.833526369,0.244345193,0.70534979,0.322797778,0.524049531,0.376018589,1,0.433851612,0.736604886,0.46023364,0.437677388,0.307628106,0.439858367,0.614398167
PLA2G10,0.453317204,0.157893749,0.385811472,0.378749514,0.157249666,0.21461588,0.144475249,0.872186614,0.656073482,0.381888991,0.138606249,0.754862387,0.58866031,0.652724024,0.789518296,0.545943789,0.561407499,0.833128084,0.240467601,0.655986325,0.555751217,0.745741975,1
PLA2G12A,0.390359164,0.163693512,0.337794958,0.51164031,0.587425322,0.459239878,0.499887097,0.481135885,0.7724125,0.461349097,0.434547521,0.609974154,0.665275897,0.480150426,0.563462633,0.521402541,0.645287629,0.989065244,0.432924149,0.439647384,0.488645948,0.579984178,1
PLA2G1B,0.581870767,0.039067515,0.455269903,0.633676298,0.509448911,0.917443388,0.395276335,1,0.660788818,0.321231405,0.322467536,0.612054007,0.383320588,0.861326449,0.529812081,0.514684212,0.461619815,0.789034671,0.535512552,0.505619868,0.955907148,0.605782109,0.740884434
PLA2G2A,0.334848858,0.057705507,0.367438026,0.376317102,0.341367999,0.262412491,0.744413289,0.447862314,0.37313277,0.641262994,0.301037043,0.223728232,0.586244645,0.604575277,0.367902189,0.521062744,0.469543717,0.178461364,1,0.217788318,0.280546829,0.394934026,0.437105792
PLA2G3,0.553096565,0.257052697,0.429342701,0.60512967,0.523994638,0.940280678,0.38674016,0.955103232,0.409447513,0.79264583,0.251261093,0.716093904,0.637270191,0.79138339,0.570622977,0.527896292,0.576708236,1,0.445777774,0.826548495,0.936434525,0.739853901,0.762645216
PLA2G4A,0.602748412,0.268539285,0.573609528,0.727889262,0.326073816,0.546408353,0.18375327,1,0.880702476,0.864294691,0.436931653,0.341633634,0.513537834,0.756514699,0.705063056,0.656957082,0.751043253,0.826499141,0.714870219,0.537484541,0.521388677,0.73379114,0.858346405
PLA2G4B,0.385928184,0.298058214,0.304171368,0.713790899,0.180699048,0.886280501,0.668590331,0.549386904,1,0.515770742,0.35417504,0.402331321,0.418478099,0.38657552,0.500208282,0.75575421,0.552200957,0.986079795,0.489064414,0.569705083,0.702031711,0.451876006,0.57604783
PLA2G4C,0.787128967,0.533036161,0.463070053,0.341580276,0.393596083,1,0.52503634,0.251242998,0.274771927,0.354238176,0.497875103,0.785345497,0.395816212,0.373195147,0.239344111,0.485608393,0.500835977,0.50502528,0.391467713,0.367639609,0.263979223,0.260655484,0.225530811
PLA2G4E,0.356510161,0.608592394,0.274741432,0.262212498,0.215850496,1,0.24521377,0.499209034,0.246614785,0.393800176,0.205178606,0.917828165,0.428863207,0.660291022,0.476622154,0.384003653,0.372000084,0.325437431,0.318537581,0.603014605,0.392973153,0.463655477,0.605511065
PLA2G4F,0.231502359,0.373911506,0.286683453,0.396562607,0.302929712,0.36166448,0.745388834,0.658978943,0.478864937,0.588488859,0.229892538,0.938220985,0.679876553,0.834466946,0.724794545,0.553836295,0.517727708,1,0.281834032,0.551029929,0.624724148,0.607103712,0.608593214
