Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T-P2,T-P3,T-P4,T-P6,T-P7,T-P8,T-P10,T-P12,T-P13,T-P16,T-P17,T-P18,T-P21,T-P22,T-P25,T-P26,T-P27,T-P32
MBP,0.010889068,0.008577369,0.00177933,0.021494979,0.010856924,0.020645015,0.269314578,0.017971253,0.001870422,0.109636986,0.030261234,0.258770939,0.037110781,0.123684057,0.013858283,1,0.005406391,0.120235229,0.350933878,0.129361783,0.05884713,0.060317183,0.015500399
MOBP,0.019077324,0.023810012,0.054268396,0.037992585,0.047046502,0.065469211,0.42640789,0.056070087,0.025406727,0.178121755,0.01770697,0.185445268,0.051962714,0.226263726,0.041901508,1,0.028156932,0.145889097,0.313179621,0.194007866,0.122819885,0.095076647,0.089180122
TBC1D4,0.111336109,0.548616891,0.238825039,0.154049211,0.215529831,0.180153329,0.145341805,0.186172278,0.087389874,0.23601101,0.1031294,0.22042921,0.134411041,0.159228766,0.11238749,1,0.135412373,0.142921789,0.198593743,0.10673512,0.173627085,0.123736986,0.0854334
PLP1,0.011737469,0.010939007,0.007195753,0.02847101,0.018697589,0.045365204,0.948839938,0.03029594,0.036122328,0.279737373,0.211442875,0.432764893,0.097864262,0.145921509,0.069568381,1,0.01858612,0.086661107,0.40039594,0.190793783,0.054638228,0.120931728,0.046733866
MOG,0.11281806,0.105273113,0.051173147,0.113416062,0.087748151,0.216127954,0.465546587,0.171954569,0.1813993,0.301990221,0.233238475,0.4711085,0.209346124,0.221592599,0.117566852,1,0.134452658,0.25982123,0.286011672,0.116275478,0.047946874,0.180244506,0.105388264
SERPINA3,0.055458361,0.023597312,0.106160108,0.066685219,0.05285301,0.038539331,1,0.060937638,0.290322662,0.144289723,0.435693957,0.142217972,0.014941184,0.159986126,0.057081491,0.020809233,0.272071742,0.042284176,0.318504878,0.053079613,0.052354061,0.039068198,0.157681908
MAG,0.093910193,0.056357711,0.08887794,0.138434136,0.117601729,0.238580264,1,0.17302224,0.069049908,0.453061757,0.315599655,0.79856218,0.215111279,0.187042152,0.050818728,0.519514716,0.102329718,0.304783217,0.541918033,0.208787599,0.185555832,0.134036874,0.12025668
PTGDS,0.026960868,0.071685048,0.0688184,0.042721695,0.356071003,0.074690142,1,0.043741568,0.022738846,0.545766295,0.108024445,0.390536417,0.445826979,0.214049601,0.073889186,0.335272476,0.119281898,0.317572757,0.564050866,0.299137583,0.294617011,0.332499524,0.048386831
H3C2,0.17003837,0.172253152,0.388496033,0.157419001,0.108335869,0.124160892,0.193465995,0.089961999,1,0.042933772,0.473711133,0.191241561,0.158034185,0.162376501,0.095576121,0.090611136,0.24079357,0.091359063,0.027150574,0.047205893,0.102357672,0.083616556,0.04394683
COL14A1,0.05421705,0.045141627,0.106714076,0.146285407,0.459584601,0.233211521,0.218821307,0.202431542,1,0.12204774,0.139149195,0.151311904,0.04394626,0.2145498,0.156627665,0.0718176,0.048515876,0.295822803,0.182868767,0.121908165,0.145811998,0.21855403,0.216272895
